# id	disposition	subject	core functions	expression
own_arrays:57	run-fn	ACLONE	ACLONE,STR	CloneDeep()
own_arrays:58	run-fn	ATAIL	ATAIL	ATail( {} )
own_arrays:59	run-fn	ATAIL	ATAIL	ATail( { 1, 2 } )
own_bits:14	run-fn	HB_BITAND	HB_BITAND	hb_bitAnd( 12, 10 )
own_bits:15	run-fn	HB_BITAND	HB_BITAND	hb_bitAnd( 255, 15, 6 )
own_bits:16	run-fn	HB_BITAND	HB_BITAND	hb_bitAnd( -1, 1234 )
own_bits:17	run-fn	HB_BITAND	HB_BITAND	hb_bitAnd( 0x0F0F, 0x00FF )
own_bits:18	run-fn	HB_BITAND	HB_BITAND	hb_bitAnd( 5, 0 )
own_bits:19	run-fn	HB_BITAND	HB_BITAND	hb_bitAnd( 0x80000000, 0xFFFFFFFF )
own_bits:20	run-fn	HB_BITAND	HB_BITAND	hb_bitAnd( 6, 4 ) == 4
own_bits:21	run-fn	HB_BITAND	HB_BITAND	hb_bitAnd( 7.9, 3 )
own_bits:24	run-fn	HB_BITOR	HB_BITOR	hb_bitOr( 12, 10 )
own_bits:25	run-fn	HB_BITOR	HB_BITOR	hb_bitOr( 1, 2, 4 )
own_bits:26	run-fn	HB_BITOR	HB_BITOR	hb_bitOr( 0, 0 )
own_bits:27	run-fn	HB_BITOR	HB_BITOR	hb_bitOr( -8, 1 )
own_bits:28	run-fn	HB_BITOR	HB_BITOR	hb_bitOr( 0x100, 0x001 )
own_bits:31	run-fn	HB_BITNOT	HB_BITNOT	hb_bitNot( 0 )
own_bits:32	run-fn	HB_BITNOT	HB_BITNOT	hb_bitNot( 5 )
own_bits:33	run-fn	HB_BITNOT	HB_BITNOT	hb_bitNot( -1 )
own_bits:34	run-fn	HB_BITAND	HB_BITAND,HB_BITNOT	hb_bitAnd( 0xFF, hb_bitNot( 0x0F ) )
own_bits:37	run-fn	HB_BITSHIFT	HB_BITSHIFT	hb_bitShift( 1, 4 )
own_bits:38	run-fn	HB_BITSHIFT	HB_BITSHIFT	hb_bitShift( 256, -4 )
own_bits:39	run-fn	HB_BITSHIFT	HB_BITSHIFT	hb_bitShift( 5, 0 )
own_bits:40	run-fn	HB_BITSHIFT	HB_BITSHIFT	hb_bitShift( -16, -2 )
own_bits:41	run-fn	HB_BITSHIFT	HB_BITSHIFT	hb_bitShift( 1, 31 )
own_dates:14	run-fn	DTOS	DTOS,STOD	DToS( SToD( "19840325" ) )
own_dates:15	run-fn	STOD	HB_STOD,STOD	SToD( "19840325" ) == hb_SToD( "19840325" )
own_dates:16	run-fn	EMPTY	EMPTY,STOD	Empty( SToD( "" ) )
own_dates:17	run-fn	EMPTY	EMPTY,STOD	Empty( SToD() )
own_dates:18	run-fn	EMPTY	EMPTY,STOD	Empty( SToD( NIL ) )
own_dates:19	run-fn	DTOS	DTOS,STOD	DToS( SToD( "20240229" ) )
own_dates:20	run-fn	EMPTY	EMPTY,STOD	Empty( SToD( "20230229" ) )
own_dates:21	run-fn	EMPTY	EMPTY,STOD	Empty( SToD( "19000229" ) )
own_dates:22	run-fn	DTOS	DTOS,STOD	DToS( SToD( "20000229" ) )
own_dates:23	run-fn	DTOS	DTOS,STOD	DToS( SToD( "21001231" ) )
own_dates:24	divergent:the empty date is default(DateOnly), 0001-01-01, so that real day reads as empty; EasiPOS never uses year 1 (Alex, 2026-09-19)	DTOS	DTOS,STOD	DToS( SToD( "00010101" ) )
own_dates:25	run-fn	DTOS	DTOS,STOD	DToS( SToD( "99991231" ) )
own_dates:26	run-fn	EMPTY	EMPTY,STOD	Empty( SToD( "2024013" ) )
own_dates:27	run-fn	DTOS	DTOS,STOD	DToS( SToD( "2024013199" ) )
own_dates:28	run-fn	EMPTY	EMPTY,STOD	Empty( SToD( "2024-01-31" ) )
own_dates:29	run-fn	EMPTY	EMPTY,STOD	Empty( SToD( "20241301" ) )
own_dates:30	run-fn	EMPTY	EMPTY,STOD	Empty( SToD( "20240100" ) )
own_dates:31	run-fn	YEAR	STOD,YEAR	Year( SToD( "20040101" ) )
own_dates:32	run-fn	STOD	STOD	SToD( "20040102" ) - SToD( "20040101" )
own_errors:22	run-fn	VALTYPE	ERRORNEW,VALTYPE	ValType( ErrorNew() )
own_errors:23	run-fn	ERRORNEW	ERRORNEW	ErrorNew():className()
own_errors:24	run-fn	ERRORNEW	ERRORNEW	ErrorNew():severity
own_errors:25	run-fn	ERRORNEW	ERRORNEW	ErrorNew():genCode
own_errors:26	run-fn	ERRORNEW	ERRORNEW	ErrorNew():subSystem
own_errors:27	run-fn	ERRORNEW	ERRORNEW	ErrorNew():subCode
own_errors:28	run-fn	ERRORNEW	ERRORNEW	ErrorNew():description
own_errors:29	run-fn	ERRORNEW	ERRORNEW	ErrorNew():operation
own_errors:30	run-fn	ERRORNEW	ERRORNEW	ErrorNew():fileName
own_errors:31	run-fn	ERRORNEW	ERRORNEW	ErrorNew():osCode
own_errors:32	run-fn	ERRORNEW	ERRORNEW	ErrorNew():tries
own_errors:33	run-fn	ERRORNEW	ERRORNEW	ErrorNew():canRetry
own_errors:34	run-fn	ERRORNEW	ERRORNEW	ErrorNew():canDefault
own_errors:35	run-fn	ERRORNEW	ERRORNEW	ErrorNew():canSubstitute
own_errors:36	run-fn	ERRORNEW	ERRORNEW	ErrorNew():args
own_errors:37	run-fn	ERRORNEW	ERRORNEW	ErrorNew():cargo
own_errors:40	run-fn	ERRORNEW	ERRORNEW	UdmError():severity
own_errors:41	run-fn	ERRORNEW	ERRORNEW	UdmError():subSystem
own_errors:42	run-fn	ERRORNEW	ERRORNEW	UdmError():subCode
own_errors:43	run-fn	ERRORNEW	ERRORNEW	UdmError():description
own_errors:44	run-fn	ERRORNEW	ERRORNEW	UdmError():canRetry
own_errors:45	run-fn	ERRORNEW	ERRORNEW	UdmError():canDefault
own_errors:46	run-fn	ERRORNEW	ERRORNEW	UdmError():SubSystem
own_errors:49	run-op			Recovered( 5 )
own_errors:50	run-op			Recovered( "x" )
own_errors:51	run-op			Recovered( NIL )
own_errors:52	run-fn	ERRORNEW	ERRORNEW	Recovered( UdmError() ):subCode
own_errors:53	run-op			BareBreak()
own_errors:54	run-fn	EVAL	BREAK,EVAL	BlockBreak()
own_errors:58	run-op			Trail()
own_errors:59	run-op			NoRecover()
own_errors:60	run-op			WithAlways( .F. )
own_errors:61	run-op			WithAlways( .T. )
own_errors:62	run-op			AlwaysOnly()
own_errors:63	run-op			Nested()
own_errors:66	run-fn	VALTYPE	VALTYPE	ValType( ZeroDiv() )
own_errors:67	run-op			ZeroDiv():className()
own_errors:68	run-op			ZeroDiv():severity
own_errors:69	run-op			ZeroDiv():genCode
own_errors:70	run-op			ZeroDiv():subSystem
own_errors:71	run-op			ZeroDiv():subCode
own_errors:72	run-op			ZeroDiv():description
own_errors:73	run-op			ZeroDiv():operation
own_errors:74	run-op			Bound():genCode
own_errors:75	run-op			Bound():subSystem
own_errors:76	run-op			Bound():subCode
own_errors:77	run-op			Bound():description
own_errors:78	run-op			Bound():operation
own_errors:79	run-op			WithValue()
own_errors:80	run-op			WithNil()
own_errors:87	divergent:a runtime error in a plain sequence inside a WITH one reaches the WITH sequence in C#, the inner one in Harbour; no WITH body in EasiPOS enters a sequence (Alex, 2026-09-22)			PlainInsideWith()
own_errors:90	run-fn	ERRORBLOCK	ERRORBLOCK,EVAL	BlockRoundTrip()
own_errors:91	run-fn	ERRORBLOCK	ERRORBLOCK,EVAL	BlockKeep()
own_errors:95	run-fn	ERRORNEW	ERRORNEW	UdmError():subSystem()
own_errors:96	run-fn	ERRORNEW	ERRORNEW	UdmError():subCode()
own_errors:97	run-fn	ERRORNEW	ERRORNEW	ErrorNew():description()
own_files:33	run-fn	FILE	FILE	File( cFile )
own_files:34	run-fn	FERASE	FERASE	FErase( cFile )
own_files:35	run-fn	FERROR	FERROR	FError()
own_files:36	run-fn	FILE	FILE	File( cFile )
own_files:37	run-fn	FERASE	FERASE	FErase( cFile )
own_files:38	run-fn	FERROR	FERROR	FError()
own_files:39	run-fn	FERASE	FERASE	FErase( "_rtl_nodir\x.tmp" )
own_files:40	run-fn	FERROR	FERROR	FError()
own_files:41	run-fn	FERASE	FERASE	FErase( "." )
own_files:42	run-fn	FERROR	FERROR	FError()
own_files:43	run-fn	FERASE	FERASE	FErase( "" )
own_files:44	run-fn	FERROR	FERROR	FError()
own_files:49	run-fn	FOPEN	FOPEN	FOpen( "_excl.tmp", 0 )
own_files:50	run-fn	FERROR	FERROR	FError()
own_files:51	run-fn	FCLOSE	FCLOSE	FClose( nHandle )
own_files:52	run-fn	HB_FCREATE	HB_FCREATE	hb_FCreate( "_share.tmp", 0, 2 + 64 ) > 0
own_files:53	run-fn	FERROR	FERROR	FError()
own_files:55	run-fn	FERROR	FERROR	FError()
own_files:56	run-fn	FCLOSE	FCLOSE	FClose( nShared )
own_files:57	run-fn	FOPEN	FOPEN	FOpen( "_nothere.tmp" )
own_files:58	run-fn	FERROR	FERROR	FError()
own_files:59	run-fn	FCREATE	FCREATE	FCreate( "_nodir\x.tmp" )
own_files:60	run-fn	FERROR	FERROR	FError()
own_files:65	run-fn	FWRITE	CHR,FWRITE	FWrite( nHandle, Chr( 200 ) + Chr( 0 ) + "Z" )
own_files:66	run-fn	FSEEK	FSEEK	FSeek( nHandle, 0 )
own_files:67	run-fn	FREAD	FREAD	FRead( nHandle, @cBuf, 3 )
own_files:68	run-fn	LEFT	LEFT	Left( cBuf, 3 )
own_files:69	run-fn	LEN	LEN	Len( cBuf )
own_files:70	run-fn	FSEEK	FSEEK	FSeek( nHandle, 0, 2 )
own_files:71	run-fn	FCLOSE	FCLOSE	FClose( nHandle )
own_files:76	run-fn	FRENAME	FRENAME	FRename( "_ren_a.txt", "_ren_b.txt" )
own_files:77	run-fn	FERROR	FERROR	FError()
own_files:78	run-fn	FILE	FILE	File( "_ren_b.txt" )
own_files:79	run-fn	FRENAME	FRENAME	FRename( "_ren_a.txt", "_ren_c.txt" )
own_files:80	run-fn	FERROR	FERROR	FError()
own_files:81	run-fn	FRENAME	FRENAME	FRename( "_ren_b.txt", "_nodir\x.txt" )
own_files:82	run-fn	FERROR	FERROR	FError()
own_files:93	run-fn	DIRECTORY	DIRECTORY	Directory( "_dir_a.001" )[ 1 ][ 1 ]
own_files:94	run-fn	DIRECTORY	DIRECTORY	Directory( "_dir_a.001" )[ 1 ][ 2 ]
own_files:95	run-fn	DIRECTORY	DIRECTORY	Directory( "_dir_a.001" )[ 1 ][ 5 ]
own_files:96	run-fn	DIRECTORY	DIRECTORY	Directory( "_dir_a.001" )[ 1 ][ 3 ]
own_files:97	run-fn	LEN	DIRECTORY,LEN	Len( Directory( "_dir_a.001" )[ 1 ][ 4 ] )
own_files:98	run-fn	LEN	DIRECTORY,LEN	Len( Directory( "_dir_*.*" ) )
own_files:99	run-fn	LEN	DIRECTORY,LEN	Len( Directory( "_dir_*.*", "H" ) )
own_files:100	run-fn	DIRECTORY	DIRECTORY	Directory( "_dir_h.003", "H" )[ 1 ][ 5 ]
own_files:101	run-fn	LEN	DIRECTORY,LEN	Len( Directory( "_dir_*.*", "D" ) )
own_files:102	run-fn	DIRECTORY	DIRECTORY	Directory( "_dir_sub", "D" )[ 1 ][ 5 ]
own_files:103	run-fn	LEN	DIRECTORY,LEN	Len( Directory( "_dir_sub\", "D" ) )
own_files:104	run-fn	LEN	DIRECTORY,LEN	Len( Directory( "_dir_sub\" ) )
own_files:105	run-fn	LEN	DIRECTORY,LEN	Len( Directory( "_nodir\*.*" ) )
own_files:106	run-fn	DIRECTORY	DIRECTORY	Directory( "_dir_b.002" )[ 1 ][ 1 ]
own_files:112	run-fn	FILE	FILE	File( "_dir_*.001" )
own_files:113	run-fn	FILE	FILE	File( "_dir_*.999" )
own_files:114	run-fn	FILE	FILE	File( "_dir_sub" )
own_files:115	run-fn	FILE	FILE	File( "_dir_h.003" )
own_files:116	run-fn	FILE	FILE	File( "_dir_sub\" )
own_files:117	run-fn	FILE	FILE	File( "" )
own_files:119	run-fn	FILE	FILE	File( "_inpath.txt" )
own_files:121	run-fn	FILE	FILE	File( "_inpath.txt" )
own_files:123	run-fn	FILE	FILE	File( "_inpath.txt" )
own_files:126	run-fn	HB_FILEEXISTS	HB_FILEEXISTS	hb_FileExists( "_dir_a.001" )
own_files:127	run-fn	HB_FILEEXISTS	HB_FILEEXISTS	hb_FileExists( "_dir_sub" )
own_files:128	run-fn	HB_DIREXISTS	HB_DIREXISTS	hb_DirExists( "_dir_sub" )
own_files:129	run-fn	HB_DIREXISTS	HB_DIREXISTS	hb_DirExists( "_dir_a.001" )
own_files:130	run-fn	HB_VFEXISTS	HB_VFEXISTS	hb_vfExists( "_dir_a.001" )
own_files:131	run-fn	HB_VFEXISTS	HB_VFEXISTS	hb_vfExists( "_nothere.tmp" )
own_files:134	run-fn	FERROR	FERROR	FError()
own_files:135	run-fn	HB_VFSIZE	HB_VFSIZE	hb_vfSize( "_bytes.bin" )
own_files:136	run-fn	HB_VFSIZE	HB_VFSIZE	hb_vfSize( "_nothere.tmp" )
own_files:137	run-fn	FERROR	FERROR	FError()
own_files:138	run-fn	HB_VFERASE	HB_VFERASE	hb_vfErase( "_nothere.tmp" )
own_files:139	run-fn	FERROR	FERROR	FError()
own_files:143	run-fn	MEMOWRIT	MEMOWRIT	MemoWrit( "_memo.txt", "line1" )
own_files:144	run-fn	HB_VFSIZE	HB_VFSIZE	hb_vfSize( "_memo.txt" )
own_files:145	run-fn	MEMOREAD	MEMOREAD	MemoRead( "_memo.txt" )
own_files:146	run-fn	HB_MEMOREAD	HB_MEMOREAD	hb_MemoRead( "_memo.txt" )
own_files:147	run-fn	HB_MEMOWRIT	CHR,HB_MEMOWRIT	hb_MemoWrit( "_memo.txt", Chr( 0 ) + Chr( 128 ) + Chr( 255 ) )
own_files:148	run-fn	HB_MEMOREAD	HB_MEMOREAD	hb_MemoRead( "_memo.txt" )
own_files:149	run-fn	LEN	HB_MEMOREAD,LEN	Len( hb_MemoRead( "_memo.txt" ) )
own_files:150	run-fn	MEMOREAD	MEMOREAD	MemoRead( "_nothere.tmp" )
own_files:151	run-fn	HB_MEMOWRIT	HB_MEMOWRIT	hb_MemoWrit( "_dir_sub", "x" )
own_files:155	run-fn	HB_DIRBUILD	HB_DIRBUILD	hb_DirBuild( "_b1\_b2\_b3" )
own_files:156	run-fn	HB_DIREXISTS	HB_DIREXISTS	hb_DirExists( "_b1\_b2\_b3" )
own_files:157	run-fn	HB_DIRBUILD	HB_DIRBUILD	hb_DirBuild( "_b1\_b2\_b3" )
own_files:158	run-fn	HB_DIRBUILD	HB_DIRBUILD	hb_DirBuild( "_dir_a.001\x" )
own_files:159	run-fn	MAKEDIR	MAKEDIR	MakeDir( "_b1" )
own_files:160	run-fn	MAKEDIR	MAKEDIR	MakeDir( "_nodir\_x" )
own_files:161	run-fn	DIRCHANGE	DIRCHANGE	DirChange( "_b1\_b2" )
own_files:162	run-fn	RIGHT	CURDIR,RIGHT	Right( CurDir(), 3 )
own_files:163	run-fn	RIGHT	HB_CWD,RIGHT	Right( hb_cwd(), 4 )
own_files:164	run-fn	CURDIR	CURDIR,HB_CWD	CurDir() $ hb_cwd()
own_files:165	run-fn	HB_CWD	HB_CWD,HB_DIRSEPADD	hb_cwd() == hb_DirSepAdd( hb_cwd() )
own_files:166	run-fn	HB_CURDRIVE	HB_CURDRIVE,HB_CWD	hb_CurDrive() + ":" $ hb_cwd()
own_files:167	run-fn	DIRCHANGE	DIRCHANGE	DirChange( "..\.." )
own_files:168	run-fn	DIRCHANGE	DIRCHANGE	DirChange( "_nothere" )
own_files:169	run-fn	LEN	HB_CURDRIVE,LEN	Len( hb_CurDrive() )
own_files:173	run-fn	LEN	HB_DIRSCAN,LEN	Len( hb_DirScan( "_b1", "*.*" ) )
own_files:174	run-fn	HB_DIRSCAN	HB_DIRSCAN	hb_DirScan( "_b1", "_b3", "D" )[ 1 ][ 1 ]
own_files:175	run-fn	LEN	HB_DIRSCAN,LEN	Len( hb_DirScan( "_b1", "_b3", "D" ) )
own_files:180	run-fn	HB_FNAMEDIR	HB_FNAMEDIR	hb_FNameDir( "C:\dir\sub\file.ext" )
own_files:181	run-fn	HB_FNAMEDIR	HB_FNAMEDIR	hb_FNameDir( "file.ext" )
own_files:182	run-fn	HB_FNAMEEXT	HB_FNAMEEXT	hb_FNameExt( "C:\dir\sub\file.ext" )
own_files:183	run-fn	HB_FNAMEEXT	HB_FNAMEEXT	hb_FNameExt( "file" )
own_files:184	run-fn	HB_FNAMEEXT	HB_FNAMEEXT	hb_FNameExt( ".bashrc" )
own_files:185	run-fn	HB_FNAMEEXT	HB_FNAMEEXT	hb_FNameExt( "C:\dir.v2\file" )
own_files:186	run-fn	HB_FNAMENAMEEXT	HB_FNAMENAMEEXT	hb_FNameNameExt( "C:\dir\file.ext" )
own_files:187	run-fn	HB_FNAMENAMEEXT	HB_FNAMENAMEEXT	hb_FNameNameExt( "file.ext" )
own_files:188	run-fn	HB_FNAMEEXTSET	HB_FNAMEEXTSET	hb_FNameExtSet( "C:\dir\file.ext", "json" )
own_files:189	run-fn	HB_FNAMEEXTSET	HB_FNAMEEXTSET	hb_FNameExtSet( "C:\dir\file.ext", ".json" )
own_files:190	run-fn	HB_FNAMEEXTSET	HB_FNAMEEXTSET	hb_FNameExtSet( "C:\dir\file.ext" )
own_files:192	run-fn	ALLTRIM	ALLTRIM	AllTrim( cPath )
own_files:193	run-fn	ALLTRIM	ALLTRIM	AllTrim( cName )
own_files:194	run-fn	ALLTRIM	ALLTRIM	AllTrim( cExt )
own_files:196	run-fn	ALLTRIM	ALLTRIM	AllTrim( cPath )
own_files:197	run-fn	ALLTRIM	ALLTRIM	AllTrim( cExt )
own_files:200	run-fn	HB_PS	HB_PS	hb_ps()
own_files:201	run-fn	HB_DIRSEPADD	HB_DIRSEPADD	hb_DirSepAdd( "C:\dir" )
own_files:202	run-fn	HB_DIRSEPADD	HB_DIRSEPADD	hb_DirSepAdd( "C:\dir\" )
own_files:203	run-fn	HB_DIRSEPADD	HB_DIRSEPADD	hb_DirSepAdd( "C:" )
own_files:204	run-fn	HB_DIRSEPADD	HB_DIRSEPADD	hb_DirSepAdd( "" )
own_files:205	run-fn	HB_PATHNORMALIZE	HB_PATHNORMALIZE	hb_PathNormalize( "C:\a\b\..\c" )
own_files:206	run-fn	HB_PATHNORMALIZE	HB_PATHNORMALIZE	hb_PathNormalize( "C:\a\.\b" )
own_files:207	run-fn	HB_PATHNORMALIZE	HB_PATHNORMALIZE	hb_PathNormalize( "a\b\..\..\c" )
own_files:208	run-fn	HB_PATHNORMALIZE	HB_PATHNORMALIZE	hb_PathNormalize( "C:\a\b\.." )
own_files:209	run-fn	HB_PATHNORMALIZE	HB_PATHNORMALIZE	hb_PathNormalize( "" )
own_files:212	run-fn	RIGHT	HB_DIRBASE,RIGHT	Right( hb_DirBase(), 1 )
own_files:213	run-fn	HB_DIRBASE	HB_DIRBASE,HB_DIRSEPADD	hb_DirBase() == hb_DirSepAdd( hb_DirBase() )
own_files:214	run-fn	HB_DIRTEMP	HB_DIRSEPADD,HB_DIRTEMP	hb_DirTemp() == hb_DirSepAdd( hb_DirTemp() )
own_files:215	run-fn	HB_DIREXISTS	HB_DIREXISTS,HB_DIRTEMP	hb_DirExists( hb_DirTemp() )
own_files:218	run-fn	HB_FILEEXISTS	HB_FILEEXISTS	hb_FileExists( cName )
own_files:219	run-fn	FSEEK	FSEEK	FSeek( nHandle, 0, 2 )
own_files:220	run-fn	LEN	HB_FNAMENAMEEXT,LEN	Len( hb_FNameNameExt( cName ) )
own_files:221	run-fn	HB_FNAMEEXT	HB_FNAMEEXT	hb_FNameExt( cName )
own_files:222	run-fn	FCLOSE	FCLOSE	FClose( nHandle )
own_files:223	run-fn	FERASE	FERASE	FErase( cName )
own_files:226	run-fn	DISKSPACE	DISKSPACE	DiskSpace( 0 ) > 0
own_files:228	run-fn	DOSERROR	DOSERROR	DosError()
own_files:230	run-fn	DOSERROR	DOSERROR	DosError()
own_hashes:18	run-fn	HB_HHASKEY	HB_HHASKEY	hb_HHasKey( hAges, "bob" )
own_hashes:19	run-fn	HB_HHASKEY	HB_HHASKEY	hb_HHasKey( hAges, "Bob" )
own_hashes:20	run-fn	HB_HHASKEY	HB_HHASKEY	hb_HHasKey( hAges, "bo" )
own_hashes:21	run-fn	HB_HGETDEF	HB_HGETDEF	hb_HGetDef( hAges, "cy", 0 )
own_hashes:22	run-fn	HB_HGETDEF	HB_HGETDEF	hb_HGetDef( hAges, "dee", 0 )
own_hashes:23	run-fn	HB_HGETDEF	HB_HGETDEF	hb_HGetDef( hAges, "dee" )
own_hashes:24	run-fn	HB_HGET	HB_HGET	hb_HGet( hAges, "ann" )
own_hashes:25	run-fn	HB_HPOS	HB_HPOS	hb_HPos( hAges, "cy" )
own_hashes:26	run-fn	HB_HPOS	HB_HPOS	hb_HPos( hAges, "dee" )
own_hashes:27	run-fn	HB_HKEYAT	HB_HKEYAT	hb_HKeyAt( hAges, 2 )
own_hashes:28	run-fn	LEN	LEN	Len( hAges )
own_hashes:29	run-op			"ann" $ hAges
own_hashes:30	run-op			"dee" $ hAges
own_hashes:33	run-fn	HB_HHASKEY	HB_HHASKEY	hb_HHasKey( hIds, 10 )
own_hashes:34	run-fn	HB_HHASKEY	HB_HHASKEY	hb_HHasKey( hIds, 10.0 )
own_hashes:35	run-fn	HB_HHASKEY	HB_HHASKEY	hb_HHasKey( hIds, 15 )
own_hashes:36	run-fn	HB_HGETDEF	HB_HGETDEF	hb_HGetDef( hIds, 20.0, "" )
own_hashes:37	run-fn	HB_HKEYAT	HB_HKEYAT	hb_HKeyAt( hIds, 1 ) + 5
own_hashes:40	run-fn	HB_HKEYS	EMPTY,HB_HDEL,HB_HKEYS	KeyList( DelAdd( { "a" => 1, "b" => 2, "c" => 3 }, "b", "d" ) )
own_hashes:41	run-fn	HB_HKEYS	EMPTY,HB_HKEYS,HB_HSET	KeyList( SetOf( { "a" => 1, "b" => 2 }, "a", 9 ) )
own_hashes:42	run-fn	HB_HGET	HB_HGET,HB_HSET	hb_HGet( SetOf( { "a" => 1 }, "a", 9 ), "a" )
own_hashes:43	run-fn	HB_VALTOEXP	HB_HVALUES,HB_VALTOEXP	hb_ValToExp( hb_HValues( { "x" => 1, "y" => 2 } ) )
own_hashes:44	run-fn	LEN	HB_HKEYS,LEN	Len( hb_HKeys( { => } ) )
own_hashes:45	run-fn	HB_HKEEPORDER	HB_HKEEPORDER	hb_HKeepOrder( { => } )
own_hashes:48	run-fn	HB_HCLONE	HB_HCLONE,STR	CloneApart()
own_hashes:49	run-fn	VALTYPE	HB_HCLONE,VALTYPE	ValType( hb_HClone( { => } ) )
own_process:24	run-fn	HB_ARGC	HB_ARGC	hb_argc()
own_process:25	run-fn	HB_ARGV	HB_ARGV	hb_argv( 1 )
own_process:26	run-fn	HB_ARGV	HB_ARGV	hb_argv( -1 )
own_process:27	run-fn	HB_ARGV	HB_ARGV	hb_argv( 0 ) == hb_argv()
own_process:28	run-fn	HB_ARGV	HB_ARGV	hb_argv( 0 ) == ""
own_process:29	run-fn	LOWER	HB_ARGV,LOWER,RIGHT	Lower( Right( hb_argv( 0 ), 4 ) )
own_process:32	run-fn	HB_GETENV	HB_GETENV	hb_GetEnv( "RTL_NOT_SET_7Q" )
own_process:33	run-fn	HB_GETENV	HB_GETENV	hb_GetEnv( "RTL_NOT_SET_7Q", "dflt" )
